number,value,params_early_stopping,params_l2_regularization,params_learning_rate,params_max_bins,params_max_depth,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,state
0,0.95010875,False,0.005615559141266863,0.0038566857832962424,112,17,1000,64,22051,COMPLETE
1,0.9398525,False,1.5037302982521237,0.00999300594801547,115,24,1000,40,89916,COMPLETE
2,0.93765,False,1.4375648311960128e-09,0.004745475728065362,217,13,1000,36,71714,COMPLETE
3,0.94905,False,6.570548612901524e-07,0.002343417876144369,243,30,1000,79,10636,COMPLETE
4,0.94845,False,1.0103960447294557e-08,0.05098502676936067,232,18,1000,61,73142,COMPLETE
5,0.93932625,False,6.965456998813257e-09,0.08284301031295511,212,20,1000,67,93064,COMPLETE
6,0.95883375,False,0.0007245051979103561,0.011258351073138296,251,12,1000,34,12742,COMPLETE
7,0.952855,False,0.04392928120252442,0.09600801075904125,218,22,1000,20,47230,COMPLETE
8,0.958765,False,0.0033629910081351628,0.01186018149790774,150,29,1000,21,4234,COMPLETE
9,0.946675,False,3.9378624907980303e-05,0.07214187560152742,168,11,1000,40,75858,COMPLETE
10,0.89713875,False,1.4233507947249938e-05,0.001013556513436576,190,2,1000,51,34849,COMPLETE
11,0.95921375,False,0.002246080452713687,0.02139632247036707,151,6,1000,21,416,COMPLETE
12,0.957915,False,0.00014922836731611283,0.024491364733662722,142,7,1000,29,21690,COMPLETE
13,0.95908,False,8.607001078236454,0.026670762375552753,185,5,1000,31,3046,COMPLETE
14,0.94439,False,4.511107121603566,0.03380176380109891,185,2,1000,27,880,COMPLETE
15,0.95351,False,0.2230293924373837,0.021002736701651262,156,7,1000,46,36958,COMPLETE
16,0.9562925,False,0.09279448543681854,0.016045920891595858,132,7,1000,27,24489,COMPLETE
17,0.9462775,False,8.676100125873498,0.03820762491358191,172,4,1000,51,57257,COMPLETE
18,0.9518875,False,7.231724522482136e-07,0.007598336663924444,127,10,1000,30,33961,COMPLETE
19,0.96063375,False,2.394981048496936e-06,0.02953893841432143,200,14,1000,23,12738,COMPLETE
20,0.9609875,False,6.146127391789705e-07,0.05422473257748446,204,15,1000,20,13938,COMPLETE
21,0.9608525,False,1.0819327865585084e-06,0.046491675810034216,201,14,1000,21,14088,COMPLETE
22,0.96092625,False,1.0083819643040547e-06,0.052699831284254955,201,15,1000,23,15054,COMPLETE
23,0.96106375,False,7.698798490753692e-08,0.05418833436408226,201,15,1000,25,22136,COMPLETE
24,0.96107,False,6.428215079971807e-08,0.06273030908052576,233,16,1000,37,28870,COMPLETE
25,0.95292375,False,1.0882391263918275e-10,0.0646644491195757,232,19,1000,44,47439,COMPLETE
26,0.961095,False,4.941698697477848e-08,0.09166352634810787,228,24,1000,36,28703,COMPLETE
27,0.96105625,False,5.766642436862114e-08,0.08460209447943175,230,26,1000,37,29478,COMPLETE
28,0.95557375,False,5.656209177714528e-08,0.09894362202653523,254,22,1000,43,41235,COMPLETE
29,0.95103875,False,8.316103614792085e-10,0.03901281590336123,225,17,1000,54,55157,COMPLETE
30,0.96129625,False,6.811236089582313e-08,0.06283740129186181,242,26,1000,34,25428,COMPLETE
31,0.96125,False,8.82542693808369e-08,0.06880787835987519,242,26,1000,33,25471,COMPLETE
32,0.9612875,False,7.312109256015853e-09,0.06791690634654285,242,26,1000,32,27644,COMPLETE
33,0.96112625,False,4.908735855197523e-09,0.06714941613374996,100,27,1000,33,27290,COMPLETE
34,0.954825,False,6.988867469117953e-10,0.03821802135980984,109,27,1000,33,41106,COMPLETE
35,0.95099875,False,1.8546058083775505e-10,0.00368043767619727,241,27,1000,40,19346,COMPLETE
36,0.9613025,False,4.8683323639646734e-09,0.06891237616927536,241,25,1000,47,26253,COMPLETE
37,0.94981625,False,1.2378553509809496e-08,0.044807751837363734,241,24,1000,57,62853,COMPLETE
38,0.9543475,False,2.012931832987312e-09,0.015758463074345207,246,30,1000,67,40101,COMPLETE
39,0.9394975,False,2.293267132268321e-07,0.00755007250256933,217,22,1000,47,83561,COMPLETE
40,0.95985375,False,5.66456927288741e-06,0.07309009522263045,255,25,1000,72,31827,COMPLETE
41,0.95266375,False,4.373300854970387e-09,0.06892224617746746,240,28,1000,33,7858,COMPLETE
42,0.96169,False,1.6919799720611706e-08,0.06007120294775948,247,28,1000,41,18932,COMPLETE
43,0.9617425,False,1.330203812725731e-08,0.07844104823186143,248,25,1000,42,17449,COMPLETE
44,0.9617025,False,1.9512960741360026e-08,0.04504383042430965,247,29,1000,42,17641,COMPLETE
45,0.9616825,False,1.7970545118991403e-08,0.09948742275977415,250,30,1000,40,18404,COMPLETE
46,0.93096875,False,1.8275647181057032e-08,0.08305813590957307,248,29,1000,41,7900,COMPLETE
47,0.92994875,False,4.0768820176303576e-10,0.0016008004054042383,219,29,1000,47,17726,COMPLETE
48,0.961975,False,1.984754131479827e-09,0.04481393039847475,250,30,1000,49,10281,COMPLETE
49,0.9620625,False,2.356703420201642e-09,0.03060149279262056,252,30,1000,57,7011,COMPLETE
50,0.96196,False,1.6423137208765775e-09,0.029889410967740393,234,28,1000,58,8198,COMPLETE
51,0.962035,False,1.911388217500156e-09,0.03149594865809727,255,28,1000,60,7694,COMPLETE
52,0.96207125,False,2.0655365761140097e-09,0.029860584478142355,255,30,1000,61,7247,COMPLETE
53,0.96175125,False,1.8285499308977341e-09,0.018236410763450915,255,30,1000,61,8498,COMPLETE
54,0.96193125,False,2.1482526869803694e-09,0.018842351524762564,234,30,1000,61,6399,COMPLETE
55,0.9456025,False,2.752316108713463e-10,0.030018073701128252,235,28,1000,60,3412,COMPLETE
56,0.96208625,False,1.6662012502827358e-09,0.02419801131463053,220,28,1000,66,6681,COMPLETE
57,0.95443125,False,7.278886307277603e-10,0.024637234709005904,208,28,1000,66,42,COMPLETE
58,0.96199875,False,2.88024757144004e-10,0.032985299545598666,225,23,1000,71,10342,COMPLETE
59,0.96106875,False,1.4954549433387942e-10,0.01318339538862987,223,21,1000,71,11048,COMPLETE
60,0.96202,False,0.00019685548818387945,0.02469502606480271,194,29,1000,76,4159,COMPLETE
61,0.96191,False,9.343927212286279e-05,0.023503659172239583,192,29,1000,79,4418,COMPLETE
62,0.9494225,False,0.00048063842880305516,0.03332298531368167,191,23,1000,75,4019,COMPLETE
63,0.961985,False,0.013680405058608748,0.03391119510675348,213,30,1000,64,11381,COMPLETE
64,0.9617,False,0.014539453120424383,0.021390125755394843,210,27,1000,65,12295,COMPLETE
65,0.9621,False,0.659501613851118,0.026172689837443395,215,29,1000,69,5082,COMPLETE
66,0.96172875,False,0.5738265170652654,0.014532592928045868,177,27,1000,69,1601,COMPLETE
67,0.96108875,False,1.8232469026122077e-05,0.010675593429281423,162,24,1000,75,5429,COMPLETE
68,0.96170125,False,0.002679526516806686,0.027222447423815296,195,29,1000,76,14704,COMPLETE
69,0.960895,False,1.1823961450478802,0.01928415575499921,182,26,1000,63,22656,COMPLETE
70,0.9609,False,3.734943276422004e-10,0.008612885244631347,225,20,1000,54,358,COMPLETE
71,0.9620275,False,0.01187550068467744,0.0326385056116852,215,30,1000,69,10203,COMPLETE
72,0.96201375,False,0.05824395477005089,0.03618531525066644,214,29,1000,69,5836,COMPLETE
73,0.9387875,False,0.1669733100926365,0.038397652824949086,206,29,1000,69,96752,COMPLETE
74,0.96203625,False,3.1432674931374405,0.025838432893572322,213,28,1000,68,5610,COMPLETE
75,0.96159875,False,3.126634654180558,0.025694683504510776,196,28,1000,63,14282,COMPLETE
76,0.96160375,False,0.5097242297838951,0.023197309514092816,220,9,1000,55,2177,COMPLETE
77,0.9614975,False,0.0006290941022467535,0.01717505002619277,185,27,1000,73,9526,COMPLETE
78,0.96187125,False,3.1504068253596387,0.020923254494087534,237,30,1000,58,6020,COMPLETE
79,0.96171125,False,0.0011929008991605915,0.030135804303582273,228,25,1000,67,15229,COMPLETE
80,0.96067875,False,0.020287892154307097,0.041202079384354856,205,28,1000,80,3888,COMPLETE
81,0.962125,False,0.07028479959814377,0.03459656734033643,214,29,1000,68,6102,COMPLETE
82,0.96215,False,0.23670395231113453,0.02679861528264634,214,29,1000,77,6937,COMPLETE
83,0.9617275,False,0.20791450384111113,0.02775910649540327,216,27,1000,68,13122,COMPLETE
84,0.96201625,False,0.5791664618298453,0.05030492564167254,212,30,1000,65,8160,COMPLETE
85,0.96212125,False,1.0468878223508107,0.03365142371857818,221,26,1000,60,6627,COMPLETE
86,0.9612575,False,1.3527322780641098,0.022102453203906396,223,26,1000,60,21321,COMPLETE
87,0.962045,False,6.502883304094542,0.04034223467958241,200,28,1000,62,1804,COMPLETE
88,0.9619275,False,2.3117431798978627,0.049200773660296904,198,26,1000,56,1682,COMPLETE
89,0.949815,False,6.942217398274597,0.040266403890035524,221,29,1000,63,63227,COMPLETE
90,0.96200625,False,0.9241757969725067,0.027173261868911787,229,27,1000,62,6155,COMPLETE
91,0.96189125,False,5.5197964514694,0.056761340696372016,203,28,1000,53,7406,COMPLETE
92,0.96177125,False,0.09823433794459471,0.03565686079372339,237,28,1000,58,16106,COMPLETE
93,0.9618225,False,1.930004476668926,0.03147238295589135,209,29,1000,60,12739,COMPLETE
