A new study created in RDB with name: dec_2021_test_2_8
Start optimization.
Trial 0 finished with value: 0.95010875 and parameters: {'l2_regularization': 0.005615559141266863, 'early_stopping': 'False', 'learning_rate': 0.0038566857832962424, 'max_iter': 1000, 'max_depth': 17, 'max_bins': 112, 'min_samples_leaf': 22051, 'max_leaf_nodes': 64}. Best is trial 0 with value: 0.95010875.
Trial 1 finished with value: 0.9398525 and parameters: {'l2_regularization': 1.5037302982521237, 'early_stopping': 'False', 'learning_rate': 0.00999300594801547, 'max_iter': 1000, 'max_depth': 24, 'max_bins': 115, 'min_samples_leaf': 89916, 'max_leaf_nodes': 40}. Best is trial 0 with value: 0.95010875.
Start optimization.
Trial 2 finished with value: 0.93765 and parameters: {'l2_regularization': 1.4375648311960128e-09, 'early_stopping': 'False', 'learning_rate': 0.004745475728065362, 'max_iter': 1000, 'max_depth': 13, 'max_bins': 217, 'min_samples_leaf': 71714, 'max_leaf_nodes': 36}. Best is trial 0 with value: 0.95010875.
Trial 3 finished with value: 0.94905 and parameters: {'l2_regularization': 6.570548612901524e-07, 'early_stopping': 'False', 'learning_rate': 0.002343417876144369, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 243, 'min_samples_leaf': 10636, 'max_leaf_nodes': 79}. Best is trial 0 with value: 0.95010875.
Trial 4 finished with value: 0.94845 and parameters: {'l2_regularization': 1.0103960447294557e-08, 'early_stopping': 'False', 'learning_rate': 0.05098502676936067, 'max_iter': 1000, 'max_depth': 18, 'max_bins': 232, 'min_samples_leaf': 73142, 'max_leaf_nodes': 61}. Best is trial 0 with value: 0.95010875.
Trial 5 finished with value: 0.93932625 and parameters: {'l2_regularization': 6.965456998813257e-09, 'early_stopping': 'False', 'learning_rate': 0.08284301031295511, 'max_iter': 1000, 'max_depth': 20, 'max_bins': 212, 'min_samples_leaf': 93064, 'max_leaf_nodes': 67}. Best is trial 0 with value: 0.95010875.
Trial 6 finished with value: 0.95883375 and parameters: {'l2_regularization': 0.0007245051979103561, 'early_stopping': 'False', 'learning_rate': 0.011258351073138296, 'max_iter': 1000, 'max_depth': 12, 'max_bins': 251, 'min_samples_leaf': 12742, 'max_leaf_nodes': 34}. Best is trial 6 with value: 0.95883375.
Trial 7 finished with value: 0.952855 and parameters: {'l2_regularization': 0.04392928120252442, 'early_stopping': 'False', 'learning_rate': 0.09600801075904125, 'max_iter': 1000, 'max_depth': 22, 'max_bins': 218, 'min_samples_leaf': 47230, 'max_leaf_nodes': 20}. Best is trial 6 with value: 0.95883375.
Trial 8 finished with value: 0.958765 and parameters: {'l2_regularization': 0.0033629910081351628, 'early_stopping': 'False', 'learning_rate': 0.01186018149790774, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 150, 'min_samples_leaf': 4234, 'max_leaf_nodes': 21}. Best is trial 6 with value: 0.95883375.
Trial 9 finished with value: 0.946675 and parameters: {'l2_regularization': 3.9378624907980303e-05, 'early_stopping': 'False', 'learning_rate': 0.07214187560152742, 'max_iter': 1000, 'max_depth': 11, 'max_bins': 168, 'min_samples_leaf': 75858, 'max_leaf_nodes': 40}. Best is trial 6 with value: 0.95883375.
Trial 10 finished with value: 0.89713875 and parameters: {'l2_regularization': 1.4233507947249938e-05, 'early_stopping': 'False', 'learning_rate': 0.001013556513436576, 'max_iter': 1000, 'max_depth': 2, 'max_bins': 190, 'min_samples_leaf': 34849, 'max_leaf_nodes': 51}. Best is trial 6 with value: 0.95883375.
Trial 11 finished with value: 0.95921375 and parameters: {'l2_regularization': 0.002246080452713687, 'early_stopping': 'False', 'learning_rate': 0.02139632247036707, 'max_iter': 1000, 'max_depth': 6, 'max_bins': 151, 'min_samples_leaf': 416, 'max_leaf_nodes': 21}. Best is trial 11 with value: 0.95921375.
