number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
0,0.9568925,0.15475307808219427,0.9387488761332554,mlogloss,0.7796559409677352,0.0014483018582902817,20,73,6,multi:softprob,0.48302751274853584,gpu_hist,COMPLETE
1,0.9532975,0.030680752104306205,0.40686041977821025,mlogloss,8.650397171223046,0.050611495612197105,3,59,6,multi:softprob,0.738624588381732,gpu_hist,COMPLETE
2,0.92948,0.0019162918613642623,0.8682432075707367,mlogloss,0.010652563863179478,0.0013336534594400968,5,32,6,multi:softprob,0.45907142558209024,gpu_hist,COMPLETE
3,0.91346625,0.07257537017192267,0.30195583139381516,mlogloss,0.30736011836369115,0.006653300475303136,3,245,6,multi:softprob,0.9634563182995254,gpu_hist,COMPLETE
4,0.96216375,1.413603019249944,0.9044319835483761,mlogloss,0.7564845288799065,0.037432771312379653,20,190,6,multi:softprob,0.5641179546305708,gpu_hist,COMPLETE
5,0.9611075,0.00825779253628152,0.43328737747191776,mlogloss,0.7967857115228372,0.015920390114904395,9,6,6,multi:softprob,0.5923855508439361,gpu_hist,COMPLETE
6,0.9523825,7.648252886413821,0.6798006593235558,mlogloss,0.21488753719154827,0.0030299669979780377,13,218,6,multi:softprob,0.547383918211221,gpu_hist,COMPLETE
7,0.93546625,0.01824681602132818,0.48879560058039073,mlogloss,0.002212750934155235,0.0018177208828577358,11,295,6,multi:softprob,0.7316800952475286,gpu_hist,COMPLETE
8,0.9547075,0.3500907152060655,0.927752000694315,mlogloss,0.006190767516369922,0.001053069436382925,11,55,6,multi:softprob,0.4678577225376468,gpu_hist,COMPLETE
9,0.94985875,2.4189520013131225,0.41820008467662545,mlogloss,9.776712255912368,0.0068840387424061655,9,251,6,multi:softprob,0.8045023034772735,gpu_hist,COMPLETE
10,0.96195,0.8598512532412769,0.7652770328555214,mlogloss,0.045772346967534405,0.08620207617492964,17,138,6,multi:softprob,0.6228704595836465,gpu_hist,COMPLETE
11,0.96182625,0.8984600343712379,0.7572169412517885,mlogloss,0.04159775414560076,0.0965113126865357,17,147,6,multi:softprob,0.619532316245303,gpu_hist,COMPLETE
12,0.9623475,1.3756191877633317,0.7583073806406586,mlogloss,0.05395112554928704,0.03245517634860479,20,149,6,multi:softprob,0.653069645128839,gpu_hist,COMPLETE
13,0.9623175,8.11858474886276,0.593669589932198,mlogloss,1.3671358626382926,0.02600190035162293,20,185,6,multi:softprob,0.831208958014827,gpu_hist,COMPLETE
14,0.96246,9.929204962891385,0.5826178696939358,mlogloss,2.25520218149723,0.022858756860955353,20,112,6,multi:softprob,0.8714168829356719,gpu_hist,COMPLETE
15,0.95982875,3.0905479098231536,0.597585102418357,mlogloss,2.876541463655413,0.01413636365053916,7,104,6,multi:softprob,0.9622611024342433,gpu_hist,COMPLETE
16,0.96246875,9.812141325979418,0.7521070944296335,mlogloss,0.08519207058413045,0.025312091620453787,15,116,6,multi:softprob,0.8724329491136964,gpu_hist,COMPLETE
