number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
0,0.93893125,0.25715163713658046,0.6136356077137722,mlogloss,0.009757304439210726,0.0018163236499047098,20,261,6,multi:softprob,0.6154300969984513,gpu_hist,COMPLETE
1,0.90270125,0.019289495370771917,0.5576220983504241,mlogloss,0.2808065124866331,0.0011111262271843768,3,19,6,multi:softprob,0.49610471769499337,gpu_hist,COMPLETE
2,0.95927125,5.490087476543408,0.9127937418421919,mlogloss,2.38017566904797,0.009917973521238358,20,247,6,multi:softprob,0.47873180701699414,gpu_hist,COMPLETE
3,0.96022,0.0017208175118757893,0.5290003383152398,mlogloss,0.05033160224241763,0.025639021447630223,17,277,6,multi:softprob,0.6146244576249427,gpu_hist,COMPLETE
4,0.9616675,1.7969494605660845,0.4759995257549421,mlogloss,0.2738257289167898,0.02834050226564705,17,33,6,multi:softprob,0.6535551857611992,gpu_hist,COMPLETE
5,0.96076,0.1630771877516403,0.5453130954779426,mlogloss,0.006368167512939192,0.012985661122887297,15,17,6,multi:softprob,0.42515821734395914,gpu_hist,COMPLETE
6,0.91465625,0.009564532279671509,0.3175673387756132,mlogloss,0.03870458710929462,0.004087862608697126,11,233,6,multi:softprob,0.5236699589050695,gpu_hist,COMPLETE
7,0.95428,0.040009633835946426,0.7853554358464898,mlogloss,0.004518808834245001,0.001011136979153243,20,8,6,multi:softprob,0.6259847670315668,gpu_hist,COMPLETE
8,0.96019125,0.07926155164588308,0.8218675257477777,mlogloss,0.02900538900570212,0.05026133657305048,7,171,6,multi:softprob,0.4719640826316742,gpu_hist,COMPLETE
9,0.96053625,2.9393853501721723,0.33037739929234583,mlogloss,0.006713238413892188,0.041997606693896954,20,44,6,multi:softprob,0.4545737789728933,gpu_hist,COMPLETE
10,0.96157,0.8832584232667806,0.4262972851288453,mlogloss,9.872415030249641,0.07719452035000089,9,98,6,multi:softprob,0.8804369020082213,gpu_hist,COMPLETE
11,0.9616325,0.8401705670285656,0.4305894980344166,mlogloss,6.994417337757602,0.09345448673277529,9,90,6,multi:softprob,0.8472505012380034,gpu_hist,COMPLETE
12,0.96169125,0.8972143695758804,0.43583123971221105,mlogloss,0.393242280831084,0.08933562897492472,9,89,6,multi:softprob,0.8374141911468505,gpu_hist,COMPLETE
13,0.96062125,1.0703566868972831,0.43840221909217236,mlogloss,0.3888306478053282,0.021871571474005813,17,85,6,multi:softprob,0.7749523769584872,gpu_hist,COMPLETE
14,0.95761875,8.589570533011376,0.6953840231524396,mlogloss,0.6219250320038346,0.03665760181512942,5,149,6,multi:softprob,0.9942077286448463,gpu_hist,COMPLETE
15,0.957695,0.38819970203009807,0.45495565348478206,mlogloss,1.2772425622426362,0.012438014446423739,13,138,6,multi:softprob,0.7290324088459422,gpu_hist,COMPLETE
16,0.95853625,2.318069922856255,0.6965180308998751,mlogloss,0.14086115605126281,0.00614720762516601,17,61,6,multi:softprob,0.8295555907979587,gpu_hist,COMPLETE
17,0.96092625,2.255698554630711,0.3664750147453577,mlogloss,0.0011442706876530425,0.07042574287509336,9,195,6,multi:softprob,0.9792925383512903,gpu_hist,COMPLETE
18,0.96095,0.441617606922182,0.5000251282039296,mlogloss,1.7019011740350267,0.023643455304689965,13,108,6,multi:softprob,0.6857243035307458,gpu_hist,COMPLETE
19,0.95938125,0.08194256245753981,0.6279492163251772,mlogloss,0.11621751640770109,0.05493618520709875,5,52,6,multi:softprob,0.9216653324661156,gpu_hist,COMPLETE
